,RestroName,FullAddress,Street,Locality,Region,Zipcode,Phone,Categories
0,Food From Galillee,"6710 Snider PlzDallas, TX 75205",6710 Snider Plz,"Dallas, ",TX,75205,(214)-750-0330,"Middle Eastern Restaurants
"
1,Desta Ethiopian Restaurant,"12101 Greenville Ave 105Dallas, TX 75243",12101 Greenville Ave 105,"Dallas, ",TX,75243,(214)-575-9004,"Middle Eastern RestaurantsRestaurants
"
2,Qariah Lebanese Restaurant,"1811 Greenville AveDallas, TX 75206",1811 Greenville Ave,"Dallas, ",TX,75206,(214)-826-4444,"Middle Eastern RestaurantsCaterers
"
3,Fadi Mediterranean Grill,"3001 Knox St Ste 400Dallas, TX 75205",3001 Knox St Ste 400,"Dallas, ",TX,75205,(214)-528-1800,"Mediterranean Restaurants
"
4,Sahara Restaurant,"5441 Alpha RdDallas, TX 75240",5441 Alpha Rd,"Dallas, ",TX,75240,(972)-788-1898,"Mediterranean Restaurants
"
5,Kalachandji's Palace & Restaurant,"5430 Gurley AveDallas, TX 75223",5430 Gurley Ave,"Dallas, ",TX,75223,(214)-821-1048,"Vegetarian RestaurantsCaterers
"
6,Taj Mahal Indian Restaurant & Bar,"10455 North Central Expway #120Dallas, TX 75231",10455 North Central Expway #120,"Dallas, ",TX,75231,(214)-692-0535,"Indian Restaurants
"
7,The Saffron House,"5100 Belt Line RdDallas, TX 75254",5100 Belt Line Rd,"Dallas, ",TX,75254,(972)-239-1800,"Fast Food Restaurants
"
8,India Palace Restaurant & Bar,"12817 Preston RdDallas, TX 75230",12817 Preston Rd,"Dallas, ",TX,75230,(972)-392-0190,"Indian RestaurantsCaterers
"
9,India Chaat Cafe,"18101 Preston RdDallas, TX 75252",18101 Preston Rd,"Dallas, ",TX,75252,(972)-381-0003,"Indian Restaurants
"
10,Roti Grill,"4438 McKinney AveDallas, TX 75205",4438 McKinney Ave,"Dallas, ",TX,75205,(214)-521-3655,"Indian Restaurants
"
11,Vindu Indian Cuisine,"4701 Frankford RdDallas, TX 75287",4701 Frankford Rd,"Dallas, ",TX,75287,(972)-931-5999,"Indian Restaurants
"
12,Red Room,"4950 Belt Line Rd Ste 180Dallas, TX 75254",4950 Belt Line Rd Ste 180,"Dallas, ",TX,75254,(972)-661-8111,"Indian RestaurantsBarsTaverns
"
13,Pera Turkish Kitchen,"17479 Preston RdDallas, TX 75252",17479 Preston Rd,"Dallas, ",TX,75252,(972)-267-4444,"Mediterranean RestaurantsCaterers
"
14,Afghan Grill,"19177 Preston Rd Ste 180Dallas, TX 75252",19177 Preston Rd Ste 180,"Dallas, ",TX,75252,(214)-666-6669,"Take Out Restaurants
"
15,Natalie's Kitchen Kosher Food,"7114 Campbell RdDallas, TX 75248",7114 Campbell Rd,"Dallas, ",TX,75248,(972)-380-1010,"Kosher RestaurantsPizza
"
16,Aatish Grill Mediterranean Bistro,"3427 Trinity Mills Rd Ste 900Dallas, TX 75287",3427 Trinity Mills Rd Ste 900,"Dallas, ",TX,75287,(972)-662-0801,"Greek Restaurants
"
17,La Libela Restaurant,"9191 Forest Ln Ste 2Dallas, TX 75243",9191 Forest Ln Ste 2,"Dallas, ",TX,75243,(972)-792-8442,"Family Style Restaurants
"
